text,category
I would like to reklamo that plastic straw ban inquiry near the gate of Hall of Justice.,waste_management
Formal complaint: swab test schedule located front of Robinsons Place.,health
Formal complaint: sexual harassment at work located along Gaisano Mall.,employment
Good day. Requesting assistance: landline noisy static across Robinsons Place.,utilities
FORMAL COMPLAINT: SENIOR CITIZEN EMPLOYMENT LOCATED LOC: LIKOD NG BASILICA MINORE.,employment
"Kami po ay taga sa likod ng Dayangdang, report ko lang na death certificate error.",social_services
"Pakiusap, may maggots in garbage pile sa inside the vicinity of Iglesia ni Cristo.",sanitation
I am writing to formally report there is nag-aaway na drunk in Abella.,public_safety
Huy pansinin niyo naman to. 4ps gambling money Triangulo. Nakaka-stress!,social_services
"Kami po ay taga along Sabang, reort ko lang na open dumpsite smell.",waste_management
Good day. Requesting assistance: sharp object in trash Igualdad.,waste_management
"Grabe naman, status of scholarship application dito malapit sa Vicinity Hall! Ano na??",social_services
Huy pansinin niyo naman to. no water in second floor Panicuason. Nakaka-stress!,utilities
I would like to raise ng concern that blood donation drive schedule Cararayan.,health
Help. plaza tiles broken San Isidro. Pls fix.,infrastructure
Help. job portal city hall s tapat ng LTO Naga. Pls fix.,employment
"Ask ko lang po kung may action na, walang sidewalk na madaanan kasi dito Dinaga.",infrastructure
Help. birth certificate correction near the gate of Bicol Medical Center (BMC). Pls fix.,social_services
Nais ko pong ipagbigay alam na tree touching wire sa Lerma.,utilities
Kindly check Liboton due to hospital zone noise.,traffic
"Ask ko lang po kung may action na, identity theft report kasi dito across Camarines Sur National High School.",public_safety
Urgent: driving without license Santa Cruz.,traffic
Sumbong ko lang po ang heart center referral sa may along Brentwood College.,health
Kailan po maaayos ang waiting shed dilapidated sa sa likod ng Civic Center?,infrastructure
"Kami po ay taga front of Metro Heaxth, sumbong ko lang na voltage surge damage appliances.",utilities
"KAMI PO AY TAGA MALAPIT LOC: LTO NAGA, REPORT KO LANG NA INDIGENT CERTIFICATION.",social_services
"ASK KO LANG PO KUNG MAY ACTION NA, CERTIFICATE OF RESIDENCY KASI DITO PACOL.",social_services
Report ko lng 4ps delisting complaint Del Rosrio.,social_services
Urgent: lying-in clinic closed Del Rosrio.,health
I am writing to formally inform you about illegal jumper connection sumbong in across Deca Homes area.,utilities
Formal complaint: public market roof leaking located malapit sa Naga City Hospital.,infrastructure
Ireport ko lng sobrng baho ng kanal s likod ng City Health Office.,sanitation
Sumbong ko lang po ang crocodile sighting sa may San Francisco.,public_safety
Huy pansinin niyo naman to. sexual harassment in public Concepcion Grande. Nakaka-stress!,public_safety
Formal complaint: dirty water causing sickness located dito sa likod ng Police Station 1.,health
Huy pnsinin niyo naman to. van terminal illegal Del Rosario. Nakaka-stress!,traffic
"Ask ko lang po kung may axtion na, chemical spill hazard kasi dito sa may Metropolitan Cathedral.",public_safety
"Shoutout sa may LGU, barrier broken Concepcion Pequeña. Kindly actionan agad.",infrastructure
I would like to report that labor inspector request sa likod ng Public Market.,employment
Huy pansinin niyo naman to. water chlorine smell strong San Felipe. Nakaka-stress!,utilities
Ireport ko lng garbage truck juice leaking Bagumbayan.,waste_management
Report ko lng road rage incident report Saxng.,traffic
"Concerned lang po kami sa mga bata, vawc desk assistance needed malapit sa Vista Mall.",social_services
"Ask ko lang po kung may action na, kidnapping attempt kasi dito along Peñafrancia.",public_safety
I would like to report that street children rescue Concepcion Grande.,social_services
"Concerned lang po kami s mga bata, clamped vehicle inquiry front of Camarines Sur National High School.",traffic
We require aid with evacuation center status around San Felipe.,social_services
"Shoutout sa LGU, service incentive leave denied across Basilia Minore. Please actionan agad.",employment
